Temperature (F),Humidity,Pressure (atm),Light Level,Rain Water Level (in),,Index,Approx Time (hr)
63.14,57,0.97,317,3.46,,75,0.63
63.14,57,0.97,316,3.46,,76,0.63
63.14,57,0.97,316,3.25,,77,0.64
63.14,57,0.97,316,3.39,,78,0.65
62.96,57,0.97,314,3.41,,79,0.66
62.78,57,0.97,313,3.34,,80,0.67
62.78,57,0.97,313,3.41,,81,0.68
62.6,57,0.97,312,3.43,,82,0.68
62.6,57,0.97,313,3.39,,83,0.69
62.6,57,0.97,314,3.39,,84,0.70
62.78,57,0.97,318,3.39,,85,0.71
62.78,57,0.97,316,3.43,,86,0.72
62.78,57,0.97,319,3.41,,87,0.73
62.78,58,0.97,317,3.41,,88,0.73
62.78,58,0.97,317,3.39,,89,0.74
62.78,58,0.97,318,3.36,,90,0.75
62.96,58,0.97,318,3.39,,91,0.76
62.78,58,0.97,319,3.36,,92,0.77
62.78,57,0.97,320,3.34,,93,0.78
62.6,57,0.97,323,3.32,,94,0.78
62.42,57,0.97,320,3.34,,95,0.79
62.42,57,0.97,321,3.32,,96,0.80
62.42,57,0.97,319,3.3,,97,0.81
62.6,58,0.97,319,3.36,,98,0.82
62.6,58,0.97,317,3.34,,99,0.83
62.6,58,0.97,316,3.39,,100,0.83
62.6,58,0.97,315,3.32,,101,0.84
62.6,58,0.97,314,3.27,,102,0.85
62.78,58,0.97,314,3.27,,103,0.86
62.78,58,0.97,316,3.3,,104,0.87
62.78,58,0.97,316,3.27,,105,0.88
62.78,59,0.97,315,3.3,,106,0.88
62.78,58,0.97,317,3.25,,107,0.89
62.78,58,0.97,317,3.27,,108,0.90
62.96,58,0.97,318,3.27,,109,0.91
62.96,58,0.97,320,3.16,,110,0.92
63.14,58,0.97,322,3.09,,111,0.93
63.14,58,0.97,322,3.09,,112,0.93
62.96,58,0.97,323,3.07,,113,0.94
62.96,58,0.98,322,3.05,,114,0.95
62.96,58,0.98,321,2.92,,115,0.96
62.96,58,0.98,319,2.94,,116,0.97
63.14,58,0.98,317,2.92,,117,0.98
63.14,57,0.98,315,2.85,,118,0.98
63.14,57,0.97,312,2.87,,119,0.99
63.14,57,0.97,309,2.9,,120,1.00
63.14,58,0.97,307,2.83,,121,1.01
62.96,58,0.97,304,2.83,,122,1.02
62.96,57,0.97,303,2.79,,123,1.03
62.78,57,0.97,301,2.77,,124,1.03
62.78,57,0.97,300,2.71,,125,1.04
62.78,57,0.97,297,2.71,,126,1.05
62.78,57,0.97,295,2.64,,127,1.06
62.78,57,0.97,294,2.66,,128,1.07
62.78,57,0.97,293,2.58,,129,1.08
62.78,57,0.97,293,2.6,,130,1.08
62.78,57,0.97,293,2.56,,131,1.09
62.78,57,0.97,291,2.54,,132,1.10
62.78,58,0.97,289,2.54,,133,1.11
62.78,57,0.97,288,2.52,,134,1.12
62.6,57,0.97,286,2.5,,135,1.13
62.6,57,0.97,285,2.4,,136,1.13
62.6,57,0.97,282,2.46,,137,1.14
62.6,57,0.97,279,2.42,,138,1.15
62.6,57,0.97,277,2.62,,139,1.16
62.6,57,0.97,275,2.66,,140,1.17
62.6,58,0.97,271,2.44,,141,1.18
62.6,58,0.97,268,2.46,,142,1.18
62.6,58,0.97,265,2.54,,143,1.19
62.6,57,0.97,260,2.64,,144,1.20
62.6,57,0.97,254,2.62,,145,1.21
62.6,57,0.97,247,2.54,,146,1.22
62.6,57,0.97,242,2.64,,147,1.23
62.6,57,0.97,239,2.71,,148,1.23
62.42,57,0.97,237,2.66,,149,1.24
62.42,57,0.97,236,2.77,,150,1.25
62.42,58,0.97,234,2.75,,151,1.26
62.24,58,0.97,230,2.73,,152,1.27
62.24,58,0.97,223,2.73,,153,1.28
62.24,58,0.97,219,2.75,,154,1.28
62.06,57,0.97,216,2.73,,155,1.29
62.06,57,0.97,215,2.66,,156,1.30
61.88,58,0.97,216,2.66,,157,1.31
61.88,58,0.97,220,2.68,,158,1.32
61.7,58,0.97,226,2.71,,159,1.33
61.7,59,0.97,230,2.66,,160,1.33
61.52,59,0.97,232,2.73,,161,1.34
61.52,59,0.97,235,2.73,,162,1.35
61.7,59,0.97,237,2.64,,163,1.36
61.7,58,0.97,238,2.4,,164,1.37
61.7,58,0.97,237,2.62,,165,1.38
61.88,58,0.97,236,2.54,,166,1.38
61.88,58,0.97,235,2.73,,167,1.39
61.88,59,0.97,233,2.68,,168,1.40
61.7,59,0.97,230,2.64,,169,1.41
61.7,59,0.97,227,2.71,,170,1.42
61.7,59,0.97,223,2.58,,171,1.43
61.7,59,0.97,217,2.58,,172,1.43
61.7,59,0.97,210,2.56,,173,1.44
61.7,60,0.97,204,2.5,,174,1.45
61.7,60,0.97,201,2.48,,175,1.46
61.7,60,0.97,199,2.6,,176,1.47
61.7,59,0.97,200,2.56,,177,1.48
61.7,60,0.97,200,2.54,,178,1.48
61.7,60,0.97,202,2.54,,179,1.49
61.7,60,0.97,205,2.56,,180,1.50
61.7,60,0.97,208,2.52,,181,1.51
61.7,60,0.97,211,2.46,,182,1.52
61.7,60,0.97,212,2.54,,183,1.53
61.7,61,0.97,212,2.4,,184,1.53
61.7,61,0.97,210,2.4,,185,1.54
61.7,60,0.97,208,2.42,,186,1.55
61.7,60,0.97,207,2.4,,187,1.56
61.7,60,0.97,206,2.42,,188,1.57
61.7,60,0.97,204,2.54,,189,1.58
61.7,60,0.97,203,2.56,,190,1.58
61.7,60,0.97,203,2.52,,191,1.59
61.7,60,0.97,201,2.5,,192,1.60
61.52,60,0.97,199,2.54,,193,1.61
61.7,60,0.97,198,2.56,,194,1.62
61.52,60,0.97,197,2.56,,195,1.63
61.52,60,0.97,197,2.6,,196,1.63
61.52,60,0.97,196,2.56,,197,1.64
61.52,60,0.97,195,2.6,,198,1.65
61.52,60,0.97,194,2.58,,199,1.66
61.52,60,0.97,193,2.58,,200,1.67
61.52,60,0.97,192,2.48,,201,1.68
61.52,61,0.97,191,2.5,,202,1.68
61.34,60,0.97,191,2.5,,203,1.69
61.34,60,0.97,190,2.54,,204,1.70
61.34,60,0.97,189,2.58,,205,1.71
61.34,61,0.97,188,2.56,,206,1.72
61.34,60,0.97,187,2.56,,207,1.73
61.34,60,0.97,186,2.56,,208,1.73
61.16,60,0.97,184,2.56,,209,1.74
61.16,61,0.97,184,2.56,,210,1.75
61.16,61,0.97,183,2.58,,211,1.76
61.16,61,0.97,182,2.56,,212,1.77
61.16,61,0.97,180,2.54,,213,1.78
61.16,61,0.97,179,2.5,,214,1.78
61.16,61,0.97,177,2.52,,215,1.79
61.16,61,0.97,175,2.54,,216,1.80
61.16,62,0.97,174,2.52,,217,1.81
61.16,62,0.97,173,2.48,,218,1.82
61.16,62,0.97,171,2.44,,219,1.83
61.16,61,0.97,170,2.48,,220,1.83
61.16,61,0.97,171,2.46,,221,1.84
61.16,61,0.97,171,2.44,,222,1.85
61.16,61,0.97,171,2.15,,223,1.86
61.16,61,0.97,171,2.15,,224,1.87
61.16,61,0.97,171,2.14,,225,1.88
61.16,61,0.97,170,2.25,,226,1.88
61.16,61,0.97,170,2.17,,227,1.89
61.16,62,0.97,169,2.21,,228,1.90
61.16,62,0.97,168,2.21,,229,1.91
61.16,62,0.97,167,2.36,,230,1.92
61.16,62,0.97,166,2.4,,231,1.93
61.16,62,0.97,165,2.38,,232,1.93
61.16,62,0.97,164,2.36,,233,1.94
61.16,62,0.97,163,2.04,,234,1.95
61.16,62,0.97,161,2.12,,235,1.96
60.98,62,0.97,161,2.1,,236,1.97
60.98,62,0.97,159,2.1,,237,1.98
60.98,62,0.97,157,2.1,,238,1.98
60.8,62,0.97,155,2.06,,239,1.99
60.8,62,0.97,153,2.04,,240,2.00
60.8,62,0.97,150,2.04,,241,2.01
60.8,62,0.97,147,2.06,,242,2.02
60.8,62,0.97,144,2.04,,243,2.03
60.8,62,0.97,141,2.04,,244,2.03
60.8,62,0.97,137,2.04,,245,2.04
60.8,62,0.97,134,1.7,,246,2.05
60.8,63,0.97,131,1.71,,247,2.06
60.8,63,0.97,128,1.7,,248,2.07
60.62,62,0.97,127,1.68,,249,2.08
60.62,62,0.97,125,1.68,,250,2.08
60.62,62,0.97,125,1.7,,251,2.09
60.62,61,0.97,124,1.7,,252,2.10
60.44,61,0.97,124,1.7,,253,2.11
60.62,61,0.97,125,1.65,,254,2.12
60.62,61,0.97,125,1.65,,255,2.13
60.62,62,0.97,126,1.63,,256,2.13
60.62,62,0.97,127,1.63,,257,2.14
60.62,62,0.97,128,1.63,,258,2.15
60.62,62,0.97,128,1.62,,259,2.16
60.44,62,0.97,128,1.63,,260,2.17
60.44,61,0.97,129,1.62,,261,2.18
60.44,61,0.97,129,1.62,,262,2.18
60.44,61,0.98,130,1.6,,263,2.19
60.44,61,0.98,130,1.6,,264,2.20
60.44,62,0.98,130,1.6,,265,2.21
60.44,61,0.98,131,1.6,,266,2.22
60.44,61,0.97,130,1.6,,267,2.23
60.44,61,0.97,130,1.6,,268,2.23
60.44,62,0.97,128,1.6,,269,2.24
60.44,61,0.97,127,1.62,,270,2.25
60.44,62,0.97,126,1.6,,271,2.26
60.26,62,0.97,125,1.59,,272,2.27
60.26,61,0.97,123,1.59,,273,2.28
60.26,61,0.97,122,1.59,,274,2.28
60.26,62,0.97,121,1.6,,275,2.29
60.26,62,0.98,120,1.59,,276,2.30
60.26,62,0.97,119,1.57,,277,2.31
60.26,62,0.97,117,1.59,,278,2.32
60.26,62,0.97,116,1.57,,279,2.33
60.26,62,0.97,116,1.59,,280,2.33
60.26,62,0.97,115,1.57,,281,2.34
60.26,62,0.97,115,1.57,,282,2.35
60.08,62,0.97,116,1.55,,283,2.36
60.08,62,0.97,116,1.57,,284,2.37
60.08,62,0.97,117,1.57,,285,2.38
60.08,62,0.97,118,1.55,,286,2.38
60.08,62,0.97,121,1.57,,287,2.39
60.08,62,0.97,124,1.55,,288,2.40
60.08,63,0.97,126,1.55,,289,2.41
60.08,63,0.97,129,1.54,,290,2.42
60.08,62,0.97,132,1.57,,291,2.43
60.08,62,0.97,135,1.55,,292,2.43
60.08,62,0.97,138,1.55,,293,2.44
60.08,62,0.97,140,1.54,,294,2.45
60.08,62,0.97,143,1.55,,295,2.46
60.08,62,0.97,145,1.54,,296,2.47
60.08,62,0.97,146,1.54,,297,2.48
59.9,62,0.97,149,1.55,,298,2.48
59.9,62,0.97,151,1.52,,299,2.49
59.9,62,0.97,153,1.54,,300,2.50
59.9,63,0.97,154,1.52,,301,2.51
59.9,63,0.97,155,1.54,,302,2.52
59.9,63,0.97,156,1.52,,303,2.53
59.9,63,0.97,155,1.52,,304,2.53
59.9,63,0.97,153,1.54,,305,2.54
59.9,63,0.97,153,1.54,,306,2.55
59.9,63,0.97,151,1.54,,307,2.56
59.9,62,0.97,149,1.51,,308,2.57
59.9,62,0.97,146,1.49,,309,2.58
59.72,63,0.97,142,1.51,,310,2.58
59.72,63,0.97,140,1.51,,311,2.59
59.72,63,0.97,138,1.55,,312,2.60
59.9,63,0.97,137,1.51,,313,2.61
59.9,63,0.97,138,1.48,,314,2.62
59.9,63,0.97,141,1.52,,315,2.63
59.9,63,0.97,142,1.51,,316,2.63
59.9,63,0.97,145,1.51,,317,2.64
59.9,63,0.97,146,1.51,,318,2.65
59.9,63,0.97,146,1.51,,319,2.66
59.9,63,0.97,147,1.51,,320,2.67
59.9,63,0.97,150,1.49,,321,2.68
59.72,63,0.97,154,1.48,,322,2.68
59.72,63,0.97,156,1.49,,323,2.69
59.72,63,0.97,157,1.48,,324,2.70
59.72,64,0.97,157,1.49,,325,2.71
59.72,64,0.97,156,1.48,,326,2.72
59.72,64,0.97,155,1.49,,327,2.73
59.72,65,0.97,151,1.48,,328,2.73
59.72,65,0.97,146,1.46,,329,2.74
59.72,65,0.97,143,1.48,,330,2.75
59.72,65,0.98,140,1.48,,331,2.76
59.72,65,0.98,141,1.48,,332,2.77
59.72,65,0.98,144,1.48,,333,2.78
59.72,65,0.98,147,1.46,,334,2.78
59.9,64,0.98,149,1.48,,335,2.79
59.72,65,0.98,146,1.48,,336,2.80
59.72,65,0.98,141,1.46,,337,2.81
59.54,66,0.98,133,1.46,,338,2.82
59.54,66,0.98,124,1.46,,339,2.83
59.54,65,0.98,117,1.45,,340,2.83
59.54,64,0.98,112,1.46,,341,2.84
59.54,64,0.98,109,1.45,,342,2.85
59.54,64,0.98,106,1.45,,343,2.86
59.36,64,0.98,103,1.46,,344,2.87
59.36,64,0.98,100,1.46,,345,2.88
59.36,65,0.98,97,1.45,,346,2.88
59.36,65,0.98,94,1.45,,347,2.89
59.36,65,0.98,92,1.45,,348,2.90
59.36,65,0.98,90,1.45,,349,2.91
59.36,65,0.98,89,1.43,,350,2.92
59.36,65,0.98,89,1.43,,351,2.93
59.36,65,0.98,88,1.41,,352,2.93
59.36,65,0.98,85,1.41,,353,2.94
59.18,66,0.98,82,1.43,,354,2.95
59.18,65,0.98,80,1.41,,355,2.96
59.18,66,0.98,78,1.41,,356,2.97
59.18,65,0.98,76,1.4,,357,2.98
59.18,65,0.98,74,1.41,,358,2.98
59.18,65,0.98,72,1.41,,359,2.99
59.18,65,0.98,68,1.4,,360,3.00
59.18,65,0.98,66,1.41,,361,3.01
59.18,65,0.98,64,1.4,,362,3.02
59.18,65,0.98,62,1.38,,363,3.03
59.18,65,0.98,62,1.4,,364,3.03
59.18,66,0.98,61,1.4,,365,3.04
59.18,66,0.98,59,1.4,,366,3.05
59.18,66,0.98,57,1.38,,367,3.06
59.18,66,0.98,55,1.4,,368,3.07
59.18,66,0.97,54,1.38,,369,3.08
59,66,0.97,52,1.38,,370,3.08
59.18,66,0.97,50,1.41,,371,3.09
59.18,66,0.97,48,1.41,,372,3.10
59.18,65,0.98,47,1.4,,373,3.11
59,65,0.98,46,1.38,,374,3.12
59,66,0.98,45,1.38,,375,3.13
59,66,0.98,45,1.38,,376,3.13
59,66,0.98,45,1.38,,377,3.14
59,66,0.98,45,1.38,,378,3.15
58.82,66,0.98,45,1.4,,379,3.16
58.82,66,0.98,44,1.4,,380,3.17
58.82,66,0.98,43,1.37,,381,3.18
58.82,66,0.98,41,1.36,,382,3.18
58.82,66,0.98,41,1.37,,383,3.19
58.82,66,0.98,40,1.37,,384,3.20
58.82,66,0.98,39,1.36,,385,3.21
58.82,67,0.98,39,1.37,,386,3.22
58.82,67,0.98,39,1.36,,387,3.23
58.82,66,0.98,39,1.34,,388,3.23
58.82,66,0.98,40,1.36,,389,3.24
58.82,66,0.98,40,1.36,,390,3.25
58.64,66,0.98,40,1.33,,391,3.26
58.64,66,0.98,41,1.34,,392,3.27
58.64,66,0.98,41,1.33,,393,3.28
58.64,66,0.98,42,1.33,,394,3.28
58.64,66,0.98,43,1.34,,395,3.29
58.64,66,0.98,44,1.33,,396,3.30
58.64,66,0.98,45,1.33,,397,3.31
58.64,66,0.97,46,1.34,,398,3.32
58.46,66,0.97,48,1.33,,399,3.33
58.46,67,0.97,51,1.33,,400,3.33
58.46,67,0.97,53,1.31,,401,3.34
58.46,67,0.97,57,1.33,,402,3.35
58.46,66,0.97,61,1.31,,403,3.36
58.28,66,0.97,63,1.31,,404,3.37
58.28,67,0.97,64,1.31,,405,3.38
58.28,67,0.98,62,1.31,,406,3.38
58.28,67,0.97,62,1.3,,407,3.39
58.28,67,0.98,61,1.31,,408,3.40
58.28,67,0.98,59,1.31,,409,3.41
58.46,67,0.98,58,1.31,,410,3.42
58.46,67,0.98,56,1.3,,411,3.43
58.46,67,0.98,58,1.3,,412,3.43
58.46,67,0.98,60,1.3,,413,3.44
58.46,67,0.98,62,1.31,,414,3.45
58.46,67,0.98,62,1.3,,415,3.46
58.28,67,0.98,59,1.28,,416,3.47
58.28,67,0.98,57,1.28,,417,3.48
58.28,67,0.98,55,1.28,,418,3.48
58.28,67,0.98,52,1.3,,419,3.49
58.28,67,0.98,50,1.28,,420,3.50
58.1,67,0.98,48,1.28,,421,3.51
58.1,67,0.98,46,1.27,,422,3.52
58.1,67,0.98,43,1.27,,423,3.53
58.1,67,0.98,42,1.27,,424,3.53
58.1,68,0.98,41,1.27,,425,3.54
57.92,68,0.98,40,1.27,,426,3.55
57.92,68,0.98,40,1.27,,427,3.56
57.92,68,0.98,37,1.27,,428,3.57
